Gen: 1
     id: 7| fitness:0.3770872866664435 | w: [0.5535064720709008, 0.12723943992510087, 0.31925408800399835]
     id: 8| fitness:0.75565921461864 | w: [0.0902691867157489, 0.6238976389387672, 0.28583317434548394]
     id: 9| fitness:0.2577335981919552 | w: [0.8416446738932888, 0.013988239401351103, 0.1443670867053601]
     id: 10| fitness:0.5087872113948102 | w: [0.03776646796701044, 0.03048222876852691, 0.9317513032644626]
     id: 11| fitness:0.39992162030846995 | w: [0.5262359811152342, 0.20881062304680376, 0.26495339583796207]
     id: 12| fitness:0.6252636726703826 | w: [0.3594181436071149, 0.5193153337454113, 0.12126652264747384]
     id: 13| fitness:0.2524353752700654 | w: [0.8726242586428303, 0.09635494369613698, 0.03102079766103269]
     id: 14| fitness:0.3776737313676019 | w: [0.6554028672565241, 0.21280443326918175, 0.13179269947429417]
     id: 15| fitness:0.3043603995333084 | w: [0.670511888177081, 0.017045293546091807, 0.31244281827682724]
     id: 16| fitness:0.7752049245063228 | w: [0.17941680338394583, 0.6959059704743106, 0.12467722614174359]
     id: 17| fitness:0.30510380876848836 | w: [0.7496980574216251, 0.13532510062210304, 0.11497684195627186]
     id: 18| fitness:0.5063541884088287 | w: [0.19153446403812968, 0.12276393381179859, 0.6857016021500717]
     id: 19| fitness:0.35246673276835205 | w: [0.5777906389019676, 0.09471762998755628, 0.32749173111047614]

Gen: 37
     id: 0| fitness:0.5225355562553302 | w: [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
     id: 1| fitness:0.22173606628264045 | w: [0.9, 0.05, 0.05]
     id: 2| fitness:0.9362823566757651 | w: [0.05, 0.9, 0.05]
     id: 3| fitness:0.5146144352153263 | w: [0.05, 0.05, 0.9]
     id: 4| fitness:0.2446728747342339 | w: [0.8782283160670185, 0.04892818943203676, 0.0728434945009448]
     id: 5| fitness:0.26196976268533223 | w: [0.8354196980368997, 0.11326176962723547, 0.05131853233586478]
     id: 6| fitness:0.24690037684059288 | w: [0.8731935490977395, 0.08322465209756655, 0.043581798804693955]
     id: 7| fitness:0.34495913339072537 | w: [0.5535064720709008, 0.12723943992510087, 0.31925408800399835]
     id: 8| fitness:0.75565921461864 | w: [0.0902691867157489, 0.6238976389387672, 0.28583317434548394]
     id: 9| fitness:0.2577335981919552 | w: [0.8416446738932888, 0.013988239401351103, 0.1443670867053601]
     id: 10| fitness:0.5087872113948102 | w: [0.03776646796701044, 0.03048222876852691, 0.9317513032644626]
     id: 11| fitness:0.39992162030846995 | w: [0.5262359811152342, 0.20881062304680376, 0.26495339583796207]
     id: 12| fitness:0.6252636726703826 | w: [0.3594181436071149, 0.5193153337454113, 0.12126652264747384]
     id: 13| fitness:0.2524353752700654 | w: [0.8726242586428303, 0.09635494369613698, 0.03102079766103269]
     id: 14| fitness:0.3776737313676019 | w: [0.6554028672565241, 0.21280443326918175, 0.13179269947429417]
     id: 15| fitness:0.3043603995333084 | w: [0.670511888177081, 0.017045293546091807, 0.31244281827682724]
     id: 16| fitness:0.7752049245063228 | w: [0.17941680338394583, 0.6959059704743106, 0.12467722614174359]
     id: 17| fitness:0.30510380876848836 | w: [0.7496980574216251, 0.13532510062210304, 0.11497684195627186]
     id: 18| fitness:0.5063541884088287 | w: [0.19153446403812968, 0.12276393381179859, 0.6857016021500717]
     id: 19| fitness:0.3196139639753668 | w: [0.5777906389019676, 0.09471762998755628, 0.32749173111047614]

Gen: 38
     id: 0| fitness:0.5225355562553302 | w: [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
     id: 1| fitness:0.22173606628264045 | w: [0.9, 0.05, 0.05]
     id: 2| fitness:0.9362823566757651 | w: [0.05, 0.9, 0.05]
     id: 3| fitness:0.49777337379654973 | w: [0.05, 0.05, 0.9]
     id: 4| fitness:0.2446728747342339 | w: [0.8782283160670185, 0.04892818943203676, 0.0728434945009448]
     id: 5| fitness:0.26196976268533223 | w: [0.8354196980368997, 0.11326176962723547, 0.05131853233586478]
     id: 6| fitness:0.24690037684059288 | w: [0.8731935490977395, 0.08322465209756655, 0.043581798804693955]
     id: 7| fitness:0.34495913339072537 | w: [0.5535064720709008, 0.12723943992510087, 0.31925408800399835]
     id: 8| fitness:0.75565921461864 | w: [0.0902691867157489, 0.6238976389387672, 0.28583317434548394]
     id: 9| fitness:0.2577335981919552 | w: [0.8416446738932888, 0.013988239401351103, 0.1443670867053601]
     id: 10| fitness:0.49154715149409967 | w: [0.03776646796701044, 0.03048222876852691, 0.9317513032644626]
     id: 11| fitness:0.39992162030846995 | w: [0.5262359811152342, 0.20881062304680376, 0.26495339583796207]
     id: 12| fitness:0.6252636726703826 | w: [0.3594181436071149, 0.5193153337454113, 0.12126652264747384]
     id: 13| fitness:0.2524353752700654 | w: [0.8726242586428303, 0.09635494369613698, 0.03102079766103269]
     id: 14| fitness:0.3776737313676019 | w: [0.6554028672565241, 0.21280443326918175, 0.13179269947429417]
     id: 15| fitness:0.3043603995333084 | w: [0.670511888177081, 0.017045293546091807, 0.31244281827682724]
     id: 16| fitness:0.7752049245063228 | w: [0.17941680338394583, 0.6959059704743106, 0.12467722614174359]
     id: 17| fitness:0.30510380876848836 | w: [0.7496980574216251, 0.13532510062210304, 0.11497684195627186]
     id: 18| fitness:0.4909878920818487 | w: [0.19153446403812968, 0.12276393381179859, 0.6857016021500717]
     id: 19| fitness:0.3196139639753668 | w: [0.5777906389019676, 0.09471762998755628, 0.32749173111047614]

Gen:new 39
     continue len = 0

Gen:new 40
     continue len = 0

Gen:new 41
     continue len = 0

Gen: 42
     id: 0| fitness:0.5225355562553302 | w: [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
     id: 1| fitness:0.20886099176350223 | w: [0.9, 0.05, 0.05]
     id: 2| fitness:0.9362823566757651 | w: [0.05, 0.9, 0.05]
     id: 3| fitness:0.49777337379654973 | w: [0.05, 0.05, 0.9]
     id: 4| fitness:0.21740891140169905 | w: [0.8782283160670185, 0.04892818943203676, 0.0728434945009448]
     id: 5| fitness:0.26196976268533223 | w: [0.8354196980368997, 0.11326176962723547, 0.05131853233586478]
     id: 6| fitness:0.2345951981079844 | w: [0.8731935490977395, 0.08322465209756655, 0.043581798804693955]
     id: 7| fitness:0.34495913339072537 | w: [0.5535064720709008, 0.12723943992510087, 0.31925408800399835]
     id: 8| fitness:0.75565921461864 | w: [0.0902691867157489, 0.6238976389387672, 0.28583317434548394]
     id: 9| fitness:0.2577335981919552 | w: [0.8416446738932888, 0.013988239401351103, 0.1443670867053601]
     id: 10| fitness:0.49154715149409967 | w: [0.03776646796701044, 0.03048222876852691, 0.9317513032644626]
     id: 11| fitness:0.39992162030846995 | w: [0.5262359811152342, 0.20881062304680376, 0.26495339583796207]
     id: 12| fitness:0.6252636726703826 | w: [0.3594181436071149, 0.5193153337454113, 0.12126652264747384]
     id: 13| fitness:0.2524353752700654 | w: [0.8726242586428303, 0.09635494369613698, 0.03102079766103269]
     id: 14| fitness:0.3776737313676019 | w: [0.6554028672565241, 0.21280443326918175, 0.13179269947429417]
     id: 15| fitness:0.3043603995333084 | w: [0.670511888177081, 0.017045293546091807, 0.31244281827682724]
     id: 16| fitness:0.7752049245063228 | w: [0.17941680338394583, 0.6959059704743106, 0.12467722614174359]
     id: 17| fitness:0.30510380876848836 | w: [0.7496980574216251, 0.13532510062210304, 0.11497684195627186]
     id: 18| fitness:0.4909878920818487 | w: [0.19153446403812968, 0.12276393381179859, 0.6857016021500717]
     id: 19| fitness:0.3196139639753668 | w: [0.5777906389019676, 0.09471762998755628, 0.32749173111047614]

Gen: 43
     id: 0| fitness:0.5225355562553302 | w: [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
     id: 1| fitness:0.20886099176350223 | w: [0.9, 0.05, 0.05]
     id: 2| fitness:0.9362823566757651 | w: [0.05, 0.9, 0.05]
     id: 3| fitness:0.49777337379654973 | w: [0.05, 0.05, 0.9]
     id: 4| fitness:0.21740891140169905 | w: [0.8782283160670185, 0.04892818943203676, 0.0728434945009448]
     id: 5| fitness:0.26196976268533223 | w: [0.8354196980368997, 0.11326176962723547, 0.05131853233586478]
     id: 6| fitness:0.2345951981079844 | w: [0.8731935490977395, 0.08322465209756655, 0.043581798804693955]
     id: 7| fitness:0.34495913339072537 | w: [0.5535064720709008, 0.12723943992510087, 0.31925408800399835]
     id: 8| fitness:0.75565921461864 | w: [0.0902691867157489, 0.6238976389387672, 0.28583317434548394]
     id: 9| fitness:0.2577335981919552 | w: [0.8416446738932888, 0.013988239401351103, 0.1443670867053601]
     id: 10| fitness:0.49154715149409967 | w: [0.03776646796701044, 0.03048222876852691, 0.9317513032644626]
     id: 11| fitness:0.39992162030846995 | w: [0.5262359811152342, 0.20881062304680376, 0.26495339583796207]
     id: 12| fitness:0.6252636726703826 | w: [0.3594181436071149, 0.5193153337454113, 0.12126652264747384]
     id: 13| fitness:0.24061219988703708 | w: [0.8726242586428303, 0.09635494369613698, 0.03102079766103269]
     id: 14| fitness:0.3776737313676019 | w: [0.6554028672565241, 0.21280443326918175, 0.13179269947429417]
     id: 15| fitness:0.3043603995333084 | w: [0.670511888177081, 0.017045293546091807, 0.31244281827682724]
     id: 16| fitness:0.7752049245063228 | w: [0.17941680338394583, 0.6959059704743106, 0.12467722614174359]
     id: 17| fitness:0.30510380876848836 | w: [0.7496980574216251, 0.13532510062210304, 0.11497684195627186]
     id: 18| fitness:0.4909878920818487 | w: [0.19153446403812968, 0.12276393381179859, 0.6857016021500717]
     id: 19| fitness:0.3196139639753668 | w: [0.5777906389019676, 0.09471762998755628, 0.32749173111047614]

Gen: 44
     id: 0| fitness:0.5225355562553302 | w: [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
     id: 1| fitness:0.20886099176350223 | w: [0.9, 0.05, 0.05]
     id: 2| fitness:0.9362823566757651 | w: [0.05, 0.9, 0.05]
     id: 3| fitness:0.49777337379654973 | w: [0.05, 0.05, 0.9]
     id: 4| fitness:0.21740891140169905 | w: [0.8782283160670185, 0.04892818943203676, 0.0728434945009448]
     id: 5| fitness:0.26196976268533223 | w: [0.8354196980368997, 0.11326176962723547, 0.05131853233586478]
     id: 6| fitness:0.2345951981079844 | w: [0.8731935490977395, 0.08322465209756655, 0.043581798804693955]
     id: 7| fitness:0.34495913339072537 | w: [0.5535064720709008, 0.12723943992510087, 0.31925408800399835]
     id: 8| fitness:0.75565921461864 | w: [0.0902691867157489, 0.6238976389387672, 0.28583317434548394]
     id: 9| fitness:0.2577335981919552 | w: [0.8416446738932888, 0.013988239401351103, 0.1443670867053601]
     id: 10| fitness:0.49154715149409967 | w: [0.03776646796701044, 0.03048222876852691, 0.9317513032644626]
     id: 11| fitness:0.39992162030846995 | w: [0.5262359811152342, 0.20881062304680376, 0.26495339583796207]
     id: 12| fitness:0.6252636726703826 | w: [0.3594181436071149, 0.5193153337454113, 0.12126652264747384]
     id: 13| fitness:0.24061219988703708 | w: [0.8726242586428303, 0.09635494369613698, 0.03102079766103269]
     id: 14| fitness:0.3692170801145075 | w: [0.6554028672565241, 0.21280443326918175, 0.13179269947429417]
     id: 15| fitness:0.3043603995333084 | w: [0.670511888177081, 0.017045293546091807, 0.31244281827682724]
     id: 16| fitness:0.7752049245063228 | w: [0.17941680338394583, 0.6959059704743106, 0.12467722614174359]
     id: 17| fitness:0.29950994816195065 | w: [0.7496980574216251, 0.13532510062210304, 0.11497684195627186]
     id: 18| fitness:0.4909878920818487 | w: [0.19153446403812968, 0.12276393381179859, 0.6857016021500717]
     id: 19| fitness:0.3196139639753668 | w: [0.5777906389019676, 0.09471762998755628, 0.32749173111047614]

Gen: 45
     id: 0| fitness:0.5225355562553302 | w: [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
     id: 1| fitness:0.20886099176350223 | w: [0.9, 0.05, 0.05]
     id: 2| fitness:0.9335802512726041 | w: [0.05, 0.9, 0.05]
     id: 3| fitness:0.49777337379654973 | w: [0.05, 0.05, 0.9]
     id: 4| fitness:0.21740891140169905 | w: [0.8782283160670185, 0.04892818943203676, 0.0728434945009448]
     id: 5| fitness:0.26196976268533223 | w: [0.8354196980368997, 0.11326176962723547, 0.05131853233586478]
     id: 6| fitness:0.2345951981079844 | w: [0.8731935490977395, 0.08322465209756655, 0.043581798804693955]
     id: 7| fitness:0.34495913339072537 | w: [0.5535064720709008, 0.12723943992510087, 0.31925408800399835]
     id: 8| fitness:0.75565921461864 | w: [0.0902691867157489, 0.6238976389387672, 0.28583317434548394]
     id: 9| fitness:0.2577335981919552 | w: [0.8416446738932888, 0.013988239401351103, 0.1443670867053601]
     id: 10| fitness:0.49154715149409967 | w: [0.03776646796701044, 0.03048222876852691, 0.9317513032644626]
     id: 11| fitness:0.39992162030846995 | w: [0.5262359811152342, 0.20881062304680376, 0.26495339583796207]
     id: 12| fitness:0.6252636726703826 | w: [0.3594181436071149, 0.5193153337454113, 0.12126652264747384]
     id: 13| fitness:0.24061219988703708 | w: [0.8726242586428303, 0.09635494369613698, 0.03102079766103269]
     id: 14| fitness:0.3692170801145075 | w: [0.6554028672565241, 0.21280443326918175, 0.13179269947429417]
     id: 15| fitness:0.3043603995333084 | w: [0.670511888177081, 0.017045293546091807, 0.31244281827682724]
     id: 16| fitness:0.7752049245063228 | w: [0.17941680338394583, 0.6959059704743106, 0.12467722614174359]
     id: 17| fitness:0.29950994816195065 | w: [0.7496980574216251, 0.13532510062210304, 0.11497684195627186]
     id: 18| fitness:0.4909878920818487 | w: [0.19153446403812968, 0.12276393381179859, 0.6857016021500717]
     id: 19| fitness:0.3196139639753668 | w: [0.5777906389019676, 0.09471762998755628, 0.32749173111047614]

Gen: 46
     id: 0| fitness:0.5225355562553302 | w: [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
     id: 1| fitness:0.20886099176350223 | w: [0.9, 0.05, 0.05]
     id: 2| fitness:0.9335802512726041 | w: [0.05, 0.9, 0.05]
     id: 3| fitness:0.49777337379654973 | w: [0.05, 0.05, 0.9]
     id: 4| fitness:0.21740891140169905 | w: [0.8782283160670185, 0.04892818943203676, 0.0728434945009448]
     id: 5| fitness:0.26196976268533223 | w: [0.8354196980368997, 0.11326176962723547, 0.05131853233586478]
     id: 6| fitness:0.2345951981079844 | w: [0.8731935490977395, 0.08322465209756655, 0.043581798804693955]
     id: 7| fitness:0.34495913339072537 | w: [0.5535064720709008, 0.12723943992510087, 0.31925408800399835]
     id: 8| fitness:0.75565921461864 | w: [0.0902691867157489, 0.6238976389387672, 0.28583317434548394]
     id: 9| fitness:0.2577335981919552 | w: [0.8416446738932888, 0.013988239401351103, 0.1443670867053601]
     id: 10| fitness:0.49154715149409967 | w: [0.03776646796701044, 0.03048222876852691, 0.9317513032644626]
     id: 11| fitness:0.39992162030846995 | w: [0.5262359811152342, 0.20881062304680376, 0.26495339583796207]
     id: 12| fitness:0.6252636726703826 | w: [0.3594181436071149, 0.5193153337454113, 0.12126652264747384]
     id: 13| fitness:0.24061219988703708 | w: [0.8726242586428303, 0.09635494369613698, 0.03102079766103269]
     id: 14| fitness:0.3692170801145075 | w: [0.6554028672565241, 0.21280443326918175, 0.13179269947429417]
     id: 15| fitness:0.3043603995333084 | w: [0.670511888177081, 0.017045293546091807, 0.31244281827682724]
     id: 16| fitness:0.7752049245063228 | w: [0.17941680338394583, 0.6959059704743106, 0.12467722614174359]
     id: 17| fitness:0.29950994816195065 | w: [0.7496980574216251, 0.13532510062210304, 0.11497684195627186]
     id: 18| fitness:0.4909878920818487 | w: [0.19153446403812968, 0.12276393381179859, 0.6857016021500717]
     id: 19| fitness:0.3196139639753668 | w: [0.5777906389019676, 0.09471762998755628, 0.32749173111047614]

Gen:new 47
     continue len = 0

Gen:new 48
     continue len = 0

Gen:new 49
     continue len = 0

Gen: 50
     id: 0| fitness:0.5225355562553302 | w: [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
     id: 1| fitness:0.20886099176350223 | w: [0.9, 0.05, 0.05]
     id: 2| fitness:0.9335802512726041 | w: [0.05, 0.9, 0.05]
     id: 3| fitness:0.49777337379654973 | w: [0.05, 0.05, 0.9]
     id: 4| fitness:0.21740891140169905 | w: [0.8782283160670185, 0.04892818943203676, 0.0728434945009448]
     id: 5| fitness:0.26196976268533223 | w: [0.8354196980368997, 0.11326176962723547, 0.05131853233586478]
     id: 6| fitness:0.2345951981079844 | w: [0.8731935490977395, 0.08322465209756655, 0.043581798804693955]
     id: 7| fitness:0.34495913339072537 | w: [0.5535064720709008, 0.12723943992510087, 0.31925408800399835]
     id: 8| fitness:0.75565921461864 | w: [0.0902691867157489, 0.6238976389387672, 0.28583317434548394]
     id: 9| fitness:0.2577335981919552 | w: [0.8416446738932888, 0.013988239401351103, 0.1443670867053601]
     id: 10| fitness:0.49154715149409967 | w: [0.03776646796701044, 0.03048222876852691, 0.9317513032644626]
     id: 11| fitness:0.39992162030846995 | w: [0.5262359811152342, 0.20881062304680376, 0.26495339583796207]
     id: 12| fitness:0.6252636726703826 | w: [0.3594181436071149, 0.5193153337454113, 0.12126652264747384]
     id: 13| fitness:0.24061219988703708 | w: [0.8726242586428303, 0.09635494369613698, 0.03102079766103269]
     id: 14| fitness:0.3692170801145075 | w: [0.6554028672565241, 0.21280443326918175, 0.13179269947429417]
     id: 15| fitness:0.3043603995333084 | w: [0.670511888177081, 0.017045293546091807, 0.31244281827682724]
